Año_mes,VENTAS_LAV,VENTAS_REF,VENTAS_COC,TELEVISION,OOH,RADIO,PRENSA,MOBILE,DISPLAY,REVISTA,FACEBOOK,TOM_LAV,TOM_REF,TOM_COC,SOM_LAV,SOM_REF,SOM_COC,RECOM_LAV,RECOM_REF,RECOM_COC
2018-03,3811,439,11394,0,0,6476230,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-04,1318,327,0,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-05,10087,17174,0,0,0,7253849,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-06,8433,23034,17497,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-07,3958,2330,0,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-08,383,1779,17434,0,0,4093448,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-09,15268,16328,0,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-10,12446,14644,14678,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-11,0,9627,14329,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2018-12,1089,2240,0,0,0,0,0,0,0,0,0,10,14,12,35,39,35,7.3,7.5,7.9
2019-01,9053,6910,2878,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-02,3623,9429,5339,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-03,308,2698,1191,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-04,12793,36323,10647,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-05,15058,98957,14869,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-06,0,12857,12643,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-07,8276,7059,6306,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-08,983,14269,4804,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-09,10068,17512,4234,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-10,16738,15403,8103,0,0,0,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-11,3032,11033,9296,0,0,27667699,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2019-12,169,348,6590,0,0,26295861,0,0,0,0,0,9,17,10,30,48,34,8,7.7,8.2
2020-01,301,1785,1969,0,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-02,6882,21071,3062,0,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-03,0,0,2637,1336960,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-04,0,0,0,0,0,24278000,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-05,2562,0,0,0,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-06,1721,4789,378,0,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-07,1245,0,1800,0,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-08,0,0,6837,496421269,0,81961974,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-09,18551,4395,6018,408061978,0,95106620,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-10,17742,101454,5517,374349230,0,0,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-11,20244,131340,6608,453567622,0,164324088,0,22080000,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2020-12,13252,24966,4975,291462269,0,80990536,0,0,0,0,0,18,18,14,55,65,54,8.1,8.1,8.2
2021-01,1049,6936,2231,0,0,0,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-02,2490,13597,3734,0,0,0,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-03,4630,15146,9368,185328504,186300000,38295904,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-04,7414,32217,3858,329969537,230682906,70964419,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-05,13469,59028,6120,409812983,359982906,95580849,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-06,17407,30183,4381,305924907,116682906,66145882,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-07,6707,16049,5941,88773831,0,4479548,26983400,0,9480452,0,5000000,20,20,14,60,77,60,8.6,8.4,8.4
2021-08,12691,49177,6672,90012123,312920000,41769823,0,0,0,9000000,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-09,6458,19295,4575,222334326,334838450,0,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
2021-10,9009,33991,3999,280266840,111428450,40883092,0,0,0,0,0,20,20,14,60,77,60,8.6,8.4,8.4
